id,train_test,pred_type,class,pred,prob_abiotic,prob_biotic,knn,nbd_bal,lambda.1se,time_kl_shift,fluctanal_prop_r1,diff2_acf1,sd_d18O13C,avg_rR45CO244CO2,total_local_score,opp_class,opp_lambda.1se,opp_time_kl_shift,opp_fluctanal_prop_r1,opp_diff2_acf1,opp_sd_d18O13C,opp_avg_rR45CO244CO2,opp_total_local_score
2998,train,FN,biotic,abiotic,0.7772,0.2228,173,0.3757,0.511889366142189,3.39679771585843e-05,10.4893684931074,-16.6016668168174,-16.7871602771413,167.384852739274,144.4854281064,2,0.742663823805133,2.4789227803182e-05,7.95856582543204,-12.6088707084937,-13.6201699849442,118.771084508897,100.500634430119
3001,train,TP,biotic,biotic,0.0466,0.9534,173,0.6301,1.8648590551099,1.28233342619139e-06,1.89571000378645,3.59690643397068,-5.05084682686999,54.2511084801456,54.6928793733661,1,0.610657265779507,-7.63510713585371e-06,4.6403185317205,8.85368981415653,-18.5349365027335,138.115495604067,133.074559812103
3233,train,TN,abiotic,abiotic,0.9745,0.0255,173,0.3757,1.07747804832433,1.33118698268611e-05,-1.27802741522629,5.96120147595374,-6.87255091498418,43.2593820946337,41.0700185522468,2,0.266899539760428,3.38111515978479e-05,-2.50487918295378,16.2716894414429,-18.0383820613674,123.663752243571,119.392214251844
3234,train,TN,abiotic,abiotic,0.967,0.033,173,0.3757,0.183963499839809,6.18549109343231e-06,14.869357999348,-16.198592549384,21.4828639288594,-352.260368489331,-332.106732925017,2,0.0725589950783534,1.8291375060644e-08,-24.8747909147716,31.3241258853497,35.3800731266052,-577.998188253077,-536.168780137602
3240,train,FP,abiotic,biotic,0.3377,0.6623,173,0.6301,0.5606424371405,-2.28802320735648e-05,6.79880863696842,-9.28144537513693,10.0088470883349,191.682728255745,199.208915725679,1,0.13887541252063,-5.30872766884426e-05,16.3450675335811,24.1021818873084,-30.3841811026884,498.74523753107,508.808252761995
3241,train,TN,abiotic,abiotic,0.9679,0.0321,173,0.3757,2.48911404062166,6.9606926018436e-06,2.85436878646521,-3.17226263793008,14.1179698585599,-43.7971502798034,-29.9970673120158,2,2.73179958675371,6.39470582003084e-06,2.62163165933372,-2.9102282220533,12.9482957672682,-39.9968414601011,-27.3371358608467
3242,train,TN,abiotic,abiotic,0.9922,0.0078,173,0.3757,0.424979544711186,2.12037288289277e-05,8.45682630887496,12.0897593941246,-12.5254581544384,-267.339307062141,-259.318158309851,2,0.742663823805133,1.60297061811018e-05,5.8765100009224,8.03738783795936,-8.19895281650152,-168.524196377086,-162.809235324999
3250,train,TN,abiotic,abiotic,0.9968,0.0032,173,0.3757,0.266899539760428,2.33360376682857e-05,8.75348122211263,16.4496824255077,-16.5654828528287,-381.043486354446,-372.405782223617,2,0.424979544711186,2.03190602216517e-05,3.40992504417684,-12.0740451445702,12.1463275644798,-270.073933906175,-266.591706123029
3253,train,TN,abiotic,abiotic,0.9647,0.0353,173,0.3757,1.29782612375778,-1.68170881205196e-05,1.09813961226477,-4.75122416378566,5.10946316743402,24.0231130620225,25.4794748608475,2,2.06650620560807,-1.14915958169564e-05,0.742849660877616,-3.17670150227913,3.3978088643825,16.7196813538098,17.683626885195
3257,train,TN,abiotic,abiotic,0.9903,0.0097,173,0.3757,2.2679880095386,7.39755479764416e-06,-0.442938955963458,-2.96636431769421,3.11849210085694,6.75736421802923,6.46656044278329,2,2.73179958675371,6.26434187209198e-06,-0.326239210305909,-2.50473540670729,2.63088145009528,5.94975591039875,5.7496690078227
3259,train,TN,abiotic,abiotic,0.9265,0.0735,173,0.3757,0.815072629802486,-2.57916511836829e-05,-7.0144373712517,7.42762968394226,-28.396129856506,38.8902736353976,10.907310299931,2,0.511889366142189,-3.63232006249579e-05,-9.99826412329774,10.5073467926294,-49.1732865348061,57.7566118534126,9.09237166473753
3260,train,TN,abiotic,abiotic,0.9843,0.0157,173,0.3757,0.616572553739091,-2.66600982199675e-05,5.34233205587887,-8.84661848048566,9.32103310512245,-205.253401611576,-199.436681591159,2,0.616572553739091,-2.66600982199675e-05,5.34233205587887,-8.84661848048566,9.32103310512245,-205.253401611576,-199.436681591159
3261,train,TN,abiotic,abiotic,0.9934,0.0066,173,0.3757,0.167620689538692,1.66884433353513e-05,-13.412681604104,19.6194891041355,22.4004197728509,-416.645524222259,-388.038280260933,2,0.292921915397735,1.57024971781254e-05,-9.99680537962224,13.246538528966,15.8960095371607,-296.372341068768,-277.226582679766
3263,train,TN,abiotic,abiotic,0.9947,0.0053,173,0.3757,0.98175786816513,1.54249177110156e-05,-2.36200910693018,-5.92315896053399,6.40008548197135,-69.469596778412,-71.3546639389871,2,0.321481440534875,3.43737498861563e-05,-6.24794233098242,-13.6691943075856,14.3244087613837,-190.506463415891,-196.099156919326
3265,train,TN,abiotic,abiotic,0.9638,0.0362,173,0.3757,0.815072629802488,1.38563706771207e-05,0.453405715875332,-7.37781009520351,7.56822167337686,82.8965594066936,83.540390557113,2,0.894541204995409,1.31280015741823e-05,0.388656054413209,-6.86428446779251,7.02234740504134,76.6268397602868,77.1735718799504
3267,train,TN,abiotic,abiotic,0.9801,0.0199,173,0.3757,2.2679880095386,6.8891420634635e-06,0.750328606890555,-2.90626337945281,3.13513354128668,30.000250963487,30.9794566213534,2,0.676687616565554,1.60855555525227e-05,3.26618186193032,-7.88367310127419,8.7393002649078,84.918634476257,89.0404595873765
3272,train,TN,abiotic,abiotic,0.6121,0.3879,173,0.3757,0.0509130784922277,-3.09205954947534e-05,15.537723728037,-21.2267844478158,191.54345251577,-203.473231422517,-17.6188705471215,2,0.394201476500255,8.55224460003799e-06,7.59002895903462,-8.54772037486774,-28.8515594132541,64.7167320104209,34.9074897335783
3274,train,TN,abiotic,abiotic,0.971,0.029,173,0.3757,0.321481440534875,-4.82560693538426e-05,-13.6742921297109,14.2809136323216,44.8044749745465,-224.432876345487,-179.0218281244,2,0.38722553325175,-4.30042475808353e-05,-12.0327295029064,12.6674861471932,38.8610217397184,-193.051683427784,-153.555948048026
4922,train,TN,abiotic,abiotic,0.9852,0.0148,173,0.3757,0.0821321797702611,7.11238557554668e-05,-16.5597102144983,19.1706496319485,21.1640878063412,-162.323449194396,-138.548350846749,2,0.172880365596229,6.03535661264555e-05,-11.9967804278973,14.0077455474707,14.5365794210143,-79.2707148306328,-62.723109936479
4925,train,TN,abiotic,abiotic,0.9819,0.0181,173,0.3757,0.280642515356276,5.13393880135671e-05,-9.35591292112987,11.2344152830508,12.5378508252102,-145.597197688384,-131.180793161865,2,0.255711007775208,5.29055553473164e-05,-9.91230049844623,11.8815441274038,13.4579979982896,-158.197204216292,-142.76990968349
4929,train,TN,abiotic,abiotic,0.8186,0.1814,173,0.3757,0.303794388102955,5.34136821159716e-05,-8.64997110791058,10.5461608923455,44.6645431355325,-111.454677127694,-64.8938907940448,2,0.252215438102977,5.73753253724368e-05,-9.69242359360167,11.8233288324478,50.5848948544872,-132.840830398472,-80.1249729298131
4932,train,TN,abiotic,abiotic,0.9751,0.0249,173,0.3757,0.0483260091558013,8.23247379930666e-05,-20.2084665834756,23.2840941723072,176.144435733684,-194.21147180121,-14.9913261539565,2,0.0638841400441999,7.89046087656016e-05,-18.5630033258942,21.4041057748526,157.929863864567,-163.847014519181,-3.07596930104697
4935,train,TN,abiotic,abiotic,0.8372,0.1628,173,0.3757,0.170605078122804,3.86440436125869e-05,-12.0363933823098,-15.8749114251173,48.7527511942951,-408.184749337835,-387.343264306924,2,0.327205230025162,3.97033473354035e-05,-8.21650927111836,-10.7981953488437,23.5254724647002,-259.475495199493,-254.964687651407
4936,train,TN,abiotic,abiotic,0.8761,0.1239,173,0.3757,0.519685449554474,8.25158980122874e-05,-6.17286936905749,-7.75328275060061,30.4960635680968,-207.240320374728,-190.670326410392,2,0.270964424112987,0.000107459618688433,-9.73461450248678,-11.9963758049696,59.6182151613016,-334.878095867898,-296.990763554434
4937,train,TN,abiotic,abiotic,0.9628,0.0372,173,0.3757,1.09977455691596,1.91559824988935e-05,-3.09920084233727,-5.73808479290885,8.46112118225931,78.3635563244689,77.9874110274646,2,0.690690473774635,2.20745856336231e-05,-4.41821663202164,-8.21509273177774,16.3229138083944,112.720856055563,116.410482574743
4940,train,TN,abiotic,abiotic,0.9821,0.0179,173,0.3757,0.235417823292821,4.10139887206428e-05,-9.95499671804723,11.373987122892,21.6880102893761,90.6741432660934,113.781184974303,2,0.655064077650575,2.99454820463965e-05,-4.99903795150512,5.44439445201508,5.97706776284981,62.9597735686147,69.3822277774565
