"case","feature","feature_weight","label","label_prob","feature_desc","feature_value"
"17","avg_rR45CO244CO2",0.0666101562665916,"1",0.997,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17971238122222
"17","fluctanal_prop_r1",0.0581065761897751,"1",0.997,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"17","time_kl_shift",0.0606152738065203,"1",0.997,"time_kl_shift <= 1109",323
"18","diff2_acf1",0.228600847806932,"1",0.962666666666667,"0.785 < diff2_acf1",0.793669659881973
"18","sd_d18O13C",0.0784613436288965,"1",0.962666666666667,"sd_d18O13C <= 0.00353",0.0026468574632798
"18","avg_rR45CO244CO2",-0.0687450144515923,"1",0.962666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17935355411111
"18","fluctanal_prop_r1",0.0585210780105548,"1",0.962666666666667,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"18","time_kl_shift",0.0511668807540513,"1",0.962666666666667,"time_kl_shift <= 1109",323
"19","diff2_acf1",0.231148157885876,"1",0.966666666666667,"0.785 < diff2_acf1",0.807038237325772
"19","sd_d18O13C",0.0679526972808585,"1",0.966666666666667,"sd_d18O13C <= 0.00353",0.00131022151719468
"19","avg_rR45CO244CO2",-0.0644799063331112,"1",0.966666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17861261755556
"19","fluctanal_prop_r1",0.0568297074615167,"1",0.966666666666667,"0.383 < fluctanal_prop_r1 <= 0.418",0.387755102040816
"19","time_kl_shift",0.0510537432694303,"1",0.966666666666667,"time_kl_shift <= 1109",133
"20","diff2_acf1",0.232134607533662,"1",0.997666666666667,"0.785 < diff2_acf1",0.809123746596951
"20","avg_rR45CO244CO2",-0.0670366208526336,"1",0.997666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17938099477778
"20","sd_d18O13C",0.0607198511185643,"1",0.997666666666667,"sd_d18O13C <= 0.00353",0.00198730201007412
"20","fluctanal_prop_r1",0.0538671614981147,"1",0.997666666666667,"0.383 < fluctanal_prop_r1 <= 0.418",0.387755102040816
"20","time_kl_shift",0.0654205845674215,"1",0.997666666666667,"time_kl_shift <= 1109",133
"21","diff2_acf1",0.231075377781476,"1",0.993333333333333,"0.785 < diff2_acf1",0.810040535708663
"21","avg_rR45CO244CO2",0.0678497499457792,"1",0.993333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.179479072
"21","fluctanal_prop_r1",0.0622557839514442,"1",0.993333333333333,"0.383 < fluctanal_prop_r1 <= 0.418",0.387755102040816
"21","time_kl_shift",0.0497392493691108,"1",0.993333333333333,"time_kl_shift <= 1109",133
"21","class",-0.00449715292802425,"1",0.993333333333333,"class = 1",2
"22","diff2_acf1",0.228020933991209,"1",0.974333333333333,"0.785 < diff2_acf1",0.791871622473288
"22","fluctanal_prop_r1",0.207266540677415,"1",0.974333333333333,"fluctanal_prop_r1 <= 0.383",0.346938775510204
"22","avg_rR45CO244CO2",-0.0657585456816976,"1",0.974333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17887428577778
"22","time_kl_shift",0.0608225065087021,"1",0.974333333333333,"time_kl_shift <= 1109",323
"22","sd_d18O13C",-0.00332160695885694,"1",0.974333333333333,"0.00353 < sd_d18O13C <= 0.00613",0.00361186005812553
"23","fluctanal_prop_r1",0.16724025531374,"0",0.641666666666667,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"23","diff2_acf1",0.158642641864833,"0",0.641666666666667,"0.720 < diff2_acf1 <= 0.753",0.749471761696323
"23","avg_rR45CO244CO2",-0.0579523069572774,"0",0.641666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17992100933333
"23","time_kl_shift",-0.0508592850388537,"0",0.641666666666667,"time_kl_shift <= 1109",133
"23","class",-0.00351944120902972,"0",0.641666666666667,"class = 0",1
"24","fluctanal_prop_r1",0.159986519177048,"0",0.849666666666667,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"24","avg_rR45CO244CO2",0.0708703087210359,"0",0.849666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17892002788889
"24","sd_d18O13C",-0.068027908820798,"0",0.849666666666667,"sd_d18O13C <= 0.00353",0.00223304906541083
"24","diff2_acf1",0.0750364441894589,"0",0.849666666666667,"0.753 < diff2_acf1 <= 0.785",0.769181737538099
"24","time_kl_shift",-0.049300719685969,"0",0.849666666666667,"time_kl_shift <= 1109",133
"25","diff2_acf1",0.230682060240476,"1",0.962333333333333,"0.785 < diff2_acf1",0.799556021816414
"25","fluctanal_prop_r1",-0.155536797198346,"1",0.962333333333333,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"25","avg_rR45CO244CO2",-0.066995041191945,"1",0.962333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17937691133333
"25","sd_d18O13C",0.0692818548662188,"1",0.962333333333333,"sd_d18O13C <= 0.00353",0.00277702538654856
"25","time_kl_shift",0.0602504676179086,"1",0.962333333333333,"time_kl_shift <= 1109",133
"26","fluctanal_prop_r1",-0.163034500099138,"1",0.699333333333333,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"26","sd_d18O13C",0.0731958850568819,"1",0.699333333333333,"sd_d18O13C <= 0.00353",0.00344257158371947
"26","avg_rR45CO244CO2",-0.0588743110620427,"1",0.699333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17899385455556
"26","diff2_acf1",0.0703880627301067,"1",0.699333333333333,"diff2_acf1 <= 0.720",0.708788278814707
"26","time_kl_shift",0.0533353719249846,"1",0.699333333333333,"time_kl_shift <= 1109",323
"27","diff2_acf1",0.235987992125232,"1",0.995333333333333,"0.785 < diff2_acf1",0.813576108279029
"27","fluctanal_prop_r1",-0.159185603783465,"1",0.995333333333333,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"27","avg_rR45CO244CO2",0.0693842376075717,"1",0.995333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17964533511111
"27","sd_d18O13C",0.0728446845642972,"1",0.995333333333333,"sd_d18O13C <= 0.00353",0.00193531547861514
"27","time_kl_shift",0.0540301681795028,"1",0.995333333333333,"time_kl_shift <= 1109",133
"28","fluctanal_prop_r1",0.167524122852042,"0",0.841333333333333,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"28","diff2_acf1",0.164012901638669,"0",0.841333333333333,"0.720 < diff2_acf1 <= 0.753",0.74731519557951
"28","sd_d18O13C",0.142131641330135,"0",0.841333333333333,"0.00613 < sd_d18O13C <= 0.00874",0.00841913026205735
"28","avg_rR45CO244CO2",-0.0624731794143074,"0",0.841333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17976300977778
"28","time_kl_shift",-0.0614411175260451,"0",0.841333333333333,"time_kl_shift <= 1109",133
"29","diff2_acf1",0.166444617158911,"0",0.859,"0.720 < diff2_acf1 <= 0.753",0.741057416315839
"29","fluctanal_prop_r1",0.165019752890417,"0",0.859,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"29","sd_d18O13C",-0.07366177723057,"0",0.859,"sd_d18O13C <= 0.00353",0.00330226422771761
"29","avg_rR45CO244CO2",0.0656216365413544,"0",0.859,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17941363433333
"29","time_kl_shift",-0.0675804962628552,"0",0.859,"time_kl_shift <= 1109",133
"30","diff2_acf1",0.16028795635828,"0",0.501,"0.720 < diff2_acf1 <= 0.753",0.740521842916884
"30","fluctanal_prop_r1",0.16274833342257,"0",0.501,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"30","sd_d18O13C",-0.0888909793404961,"0",0.501,"sd_d18O13C <= 0.00353",0.00309158326116992
"30","avg_rR45CO244CO2",-0.0637651841212091,"0",0.501,"1.18 < avg_rR45CO244CO2 <= 1.18",1.18066819922222
"30","time_kl_shift",-0.046116315179304,"0",0.501,"time_kl_shift <= 1109",133
"31","fluctanal_prop_r1",0.178108264823839,"0",0.629333333333333,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"31","diff2_acf1",0.163109197105626,"0",0.629333333333333,"0.720 < diff2_acf1 <= 0.753",0.73189896057761
"31","sd_d18O13C",-0.0827130331541334,"0",0.629333333333333,"sd_d18O13C <= 0.00353",0.00223849198702096
"31","avg_rR45CO244CO2",-0.0637588292413654,"0",0.629333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.180432054
"31","time_kl_shift",-0.0529882312528922,"0",0.629333333333333,"time_kl_shift <= 1109",323
"32","diff2_acf1",-0.165592421193207,"1",0.844,"0.720 < diff2_acf1 <= 0.753",0.751080661297401
"32","fluctanal_prop_r1",-0.165841617991828,"1",0.844,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"32","avg_rR45CO244CO2",0.164208324765592,"1",0.844,"1.18 < avg_rR45CO244CO2",1.18104906744444
"32","time_kl_shift",0.0470923832674017,"1",0.844,"time_kl_shift <= 1109",133
"32","sd_d18O13C",-0.00454602558920974,"1",0.844,"0.00353 < sd_d18O13C <= 0.00613",0.00460339136000036
"33","diff2_acf1",0.16690189569608,"0",0.529666666666667,"0.720 < diff2_acf1 <= 0.753",0.747449822209012
"33","fluctanal_prop_r1",0.155332539900175,"0",0.529666666666667,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"33","sd_d18O13C",-0.0840242137140913,"0",0.529666666666667,"sd_d18O13C <= 0.00353",0.00334869178286622
"33","avg_rR45CO244CO2",-0.0666631627257356,"0",0.529666666666667,"1.18 < avg_rR45CO244CO2 <= 1.18",1.18016189577778
"33","time_kl_shift",-0.0520022551049108,"0",0.529666666666667,"time_kl_shift <= 1109",323
"34","diff2_acf1",0.164234655187265,"0",0.798,"0.720 < diff2_acf1 <= 0.753",0.737797069003226
"34","fluctanal_prop_r1",0.157135265556529,"0",0.798,"0.418 < fluctanal_prop_r1 <= 0.454",0.428571428571429
"34","sd_d18O13C",-0.0849346476696927,"0",0.798,"sd_d18O13C <= 0.00353",0.00288809944779128
"34","avg_rR45CO244CO2",-0.0625369320628226,"0",0.798,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17971639644444
"34","time_kl_shift",-0.0556668072843274,"0",0.798,"time_kl_shift <= 1109",133
